,comment,customer_name,discount_percent,EMI,offer_details,price,product_name,product_searched,rating,review_age
116,Terrific,RAVI RAJ PRAKASH,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,5 months ago
117,Must buy!,Ezzazuddin Huseni,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Gold, 32 GB)",Iphone-7,5,"Oct, 2019"
118,Terrific purchase,Akshat Gupta,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Dec, 2016"
119,Really Nice,Harsh Patel,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,5 months ago
120,Just wow!,Eshan RJ,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,4 months ago
121,Expected a better product,Mevert Lyngdoh,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,2,3 months ago
122,Really Nice,Suman Mondal,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,2months ago
123,Amazing job by Flipkart!,Chander Bhan,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
124,Worth the money,Roshan Jain,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,4,"Oct, 2018"
125,Wonderful,Sparsh Gupta,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,4,"Jan, 2018"
126,Mind-blowing purchase,Aniket Kumar,16% off,NO EMI Plans,No offer Available,"₹12,499","SAMSUNG Galaxy F22 (Denim Blue, 64 GB)  (4 GB RAM)",samsung,5,27 days ago
127,Must buy!,Ezzazuddin Huseni,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Gold, 32 GB)",Iphone-7,5,"Oct, 2019"
128,Great product,Murchhana Grahacharya,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,4 months ago
129,Pretty good,Flipkart Customer,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,4,"Nov, 2019"
130,Awesome,Pramod Nani,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Feb, 2019"
131,Delightful,Santhosh Gavvala,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,4 months ago
132,Worthy upgrade from iPhone 6,Kiran Chaluvaiah,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,4,"Oct, 2016"
133,Must buy!,Ezzazuddin Huseni,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Gold, 32 GB)",Iphone-7,5,"Oct, 2019"
134,Terrific,Ram Nikhil,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,4 months ago
135,Pretty good,Ramesh Ramu,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,4,"Jan, 2020"
136,Highly recommended,Anand Soni,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,4 months ago
137,Great product,VISHAL VISHWAKARMA,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,5 months ago
138,Does the job,Flipkart Customer,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,3,5 months ago
139,Simply awesome,Pradeesh .,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,5 months ago
140,Best in the market!,Amit Singh,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,2 months ago
141,Terrific purchase,Shartul Kumar,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Dec, 2018"
142,Great experience,Flipkart Customer,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Mar, 2017"
143,Awesome,Shariq Ahmad Beigh,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
144,good purchase,ANKUR VATSAL,16% off,NO EMI Plans,No offer Available,"₹12,499","SAMSUNG Galaxy F22 (Denim Blue, 64 GB)  (4 GB RAM)",samsung,4,25 days ago
145,Simply awesome,Madhavray Gachchhar,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2019"
146,Worth the money,Rojalin Mishra,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,4,1 month ago
147,"Great phone, missing headphone jack aside.",Keyur Desai,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
148,Worth the money,Swapnendu Pramanik,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,2 months ago
149,Simply awesome,Anish Singh,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Jul, 2020"
150,Mind-blowing purchase,Aniket Kumar,16% off,NO EMI Plans,No offer Available,"₹12,499","SAMSUNG Galaxy F22 (Denim Blue, 64 GB)  (4 GB RAM)",samsung,5,27 days ago
151,Brilliant,Sayanti Chakraborty,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Jul, 2017"
152,good more then expected.,aman kag,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Jun, 2017"
153,Pretty good,suresh b,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,4,"Nov, 2018"
154,My first proper iDevice,Harshit Shukla,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Nov, 2016"
155,Worth every penny,Hemanta Sa,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Gold, 32 GB)",Iphone-7,5,"Sep, 2019"
156,A Cute Little Stealthy Black Beast,Pratik Kumar,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
157,Worth every penny,Divakar,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2019"
158,Good choice,Flipkart Customer,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,4 months ago
159,Wonderful,Pallab Saha,16% off,NO EMI Plans,No offer Available,"₹12,499","SAMSUNG Galaxy F22 (Denim Blue, 64 GB)  (4 GB RAM)",samsung,4,25 days ago
160,Value-for-money,Amet S Kumar,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,2 months ago
161,Wonderful,Somdutta Mondal,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,5 months ago
162,Wonderful,Pallab Saha,16% off,NO EMI Plans,No offer Available,"₹12,499","SAMSUNG Galaxy F22 (Denim Blue, 64 GB)  (4 GB RAM)",samsung,4,25 days ago
163,Super!,Rahul Sharma,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Dec, 2019"
